REGION;NUMMR;ACHLR;AEMM;AEMMR;AGED;AGER20;AGEREV;AGEREVQ;ANAI;ANARR;ANEM;ANEMR;APAF;ARRIVR;ASCEN;BAIN;BATI;CATL;CATPC;CHAU;CHFL;CHOS;CLIM;CMBL;COUPLE;CS1;CS2;CS3;CUIS;DEPT;DEROU;DIPL;EAU;EGOUL;ELEC;EMPL;EPCI;ETUD;GARL;HLML;ILETUD;ILETUU;ILT;ILTUU;IMMI;INAI;INAT;INFAM;INPER;INPERF;IPONDI;IRAN;IRANUU;LIENF;LPRF;LPRM;METRODOM;MOCO;MODV;NA38;NA88;NAF08;NAIDT;NAT13;NAT49;NATC;NATN12;NATN49;NATNC;NBPI;NPERR;NUMF;ORIDT;PNAI12;PROF;RECH;SANI;SANIDOM;SEXE;SFM;STAT;STAT_CONJ;STOCD;SURF;TACT;TACTD16;TP;TRANS;TYPC;TYPFC;TYPL;TYPMD;TYPMR;UR;VOIT;WC
01;14;4;1971;6;054;54;053;050;1964;Z;047;06;0;Z;2;1;4;1;0;2;Z;1;2;Z;2;6;66;68;1;99;0;13;2;2;1;16;999999999;2;2;2;Z;Z;2;4;2;1;11;0;1;Z;2.49947181834038;1;3;0;0;1;D;32;50;GZ;45;4511Z;11;00;997;0;01;997;1;03;1;Z;11;01;682A;Z;Z;11;1;11;10;6;30;4;11;111;1;5;1;Z;1;011;11;1;1;1
01;15;5;2011;9;069;79;068;065;1948;Z;006;02;0;Z;2;1;4;1;0;2;Z;2;1;Z;2;7;76;78;1;99;0;01;2;2;1;ZZ;999999999;2;2;2;Z;Z;Z;Z;2;1;11;0;1;Z;2.49777765660206;1;3;0;0;1;D;32;50;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;03;1;Z;11;01;ZZZZ;9;Z;11;2;12;ZZ;4;10;3;21;210;Z;Z;1;Z;1;022;12;1;1;1
01;16;3;2004;9;033;39;032;030;1985;Z;014;03;3;Z;2;1;4;1;0;1;Z;2;2;Z;2;6;66;68;1;99;0;14;2;2;1;ZZ;999999999;2;2;2;Z;Z;Z;Z;2;1;11;1;3;3;2.49029925344662;1;3;3;3;3;D;11;11;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;07;3;1;11;01;ZZZZ;2;Z;11;1;31;ZZ;6;10;6;12;122;Z;Z;2;2;1;501;44;1;1;1
01;16;3;2004;9;055;54;054;050;1963;Z;014;03;2;Z;2;1;4;1;0;1;Z;2;2;Z;1;7;76;77;1;99;0;13;2;2;1;ZZ;999999999;2;2;2;Z;Z;Z;Z;2;1;11;1;3;3;2.49029925344662;1;3;2;2;2;D;22;32;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;07;3;1;11;01;ZZZZ;0;Z;11;2;31;ZZ;1;10;6;21;210;Z;Z;2;2;1;501;44;1;1;1
01;16;3;2004;9;071;79;070;070;1947;Z;014;03;1;Z;2;1;4;1;0;1;Z;2;2;Z;1;7;76;77;1;99;0;13;2;2;1;ZZ;999999999;2;2;2;Z;Z;Z;Z;2;1;11;1;3;3;2.49029925344662;1;3;1;1;1;D;22;32;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;07;3;1;11;01;ZZZZ;0;Z;11;1;31;ZZ;1;10;6;21;210;Z;Z;2;2;1;501;44;1;1;1
01;17;3;1960;5;098;80;097;095;1920;Z;058;07;0;Z;2;1;4;1;0;1;Z;2;2;Z;2;7;76;78;1;99;0;01;2;1;1;ZZ;999999999;2;2;2;Z;Z;Z;Z;2;1;11;0;1;Z;2.49947181834038;1;3;0;0;1;D;32;50;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;05;1;Z;11;01;ZZZZ;9;Z;11;2;12;ZZ;4;10;3;21;210;Z;Z;1;Z;1;022;12;1;0;1
01;18;6;2017;9;002;02;001;000;2016;Z;001;00;3;Z;2;1;4;1;0;2;Z;1;1;Z;2;8;82;85;1;99;0;ZZ;2;2;1;ZZ;999999999;2;2;2;Z;Z;Z;Z;2;1;11;1;5;5;2.48595054976431;3;4;3;3;3;D;11;11;ZZ;ZZ;ZZZZZ;11;00;997;0;01;997;1;05;5;1;11;01;ZZZZ;Z;Z;11;2;33;ZZ;6;10;6;23;230;Z;Z;1;2;1;303;41;1;2;1
01;18;6;2017;9;011;10;010;010;2007;Z;001;00;3;Z;2;1;4;1;0;2;Z;1;1;Z;2;8;82;85;1;99;0;ZZ;2;2;1;ZZ;999999999;1;2;2;1;3;Z;Z;2;3;11;1;5;5;2.48595054976431;3;4;3;3;3;D;11;11;ZZ;ZZ;ZZZZZ;00;00;997;0;01;997;1;05;5;1;11;01;ZZZZ;Z;Z;11;1;33;ZZ;6;10;6;23;230;Z;Z;1;2;1;303;41;1;2;1
01;18;6;2017;9;012;14;011;010;2006;Z;001;00;3;Z;2;1;4;1;0;2;Z;1;1;Z;2;8;82;85;1;99;0;ZZ;2;2;1;ZZ;999999999;1;2;2;1;3;Z;Z;2;3;11;1;5;5;2.48595054976431;3;4;3;3;3;D;11;11;ZZ;ZZ;ZZZZZ;00;00;997;0;01;997;1;05;5;1;11;01;ZZZZ;Z;Z;11;1;33;ZZ;6;10;6;23;230;Z;Z;1;2;1;303;41;1;2;1
01;18;6;2017;9;033;39;032;030;1985;Z;001;00;2;Z;2;1;4;1;0;2;Z;1;1;Z;1;3;32;33;1;99;0;16;2;2;1;16;999999999;2;2;2;Z;Z;1;3;2;1;11;1;5;5;2.48595054976431;3;4;2;2;2;D;22;32;MA;70;7022Z;11;00;997;0;01;997;1;05;5;1;11;01;331A;Z;Z;11;2;33;10;3;10;6;11;111;1;5;1;2;1;303;41;1;2;1
